Epoch: 1690, Timestep: 1690000, Reward: 5526.32, Noise_std: 0.5000, Time: 03:45:53
Epoch: 1700, Timestep: 1700000, Reward: 5821.47, Noise_std: 0.5000, Time: 03:47:12
Epoch: 1710, Timestep: 1710000, Reward: 5504.90, Noise_std: 0.5000, Time: 03:48:33
Epoch: 1720, Timestep: 1720000, Reward: 5459.08, Noise_std: 0.5000, Time: 03:49:53
Epoch: 1730, Timestep: 1730000, Reward: 5729.80, Noise_std: 0.5000, Time: 03:51:12
Epoch: 1740, Timestep: 1740000, Reward: 5658.40, Noise_std: 0.5000, Time: 03:52:31
Epoch: 1750, Timestep: 1750000, Reward: 5759.01, Noise_std: 0.5000, Time: 03:53:48
Epoch: 1760, Timestep: 1760000, Reward: 5710.87, Noise_std: 0.5000, Time: 03:55:07
Epoch: 1770, Timestep: 1770000, Reward: 5196.85, Noise_std: 0.5000, Time: 03:56:27
Epoch: 1780, Timestep: 1780000, Reward: 5938.14, Noise_std: 0.5000, Time: 03:57:45
Epoch: 1790, Timestep: 1790000, Reward: 5735.56, Noise_std: 0.5000, Time: 03:59:05
Epoch: 1800, Timestep: 1800000, Reward: 5400.57, Noise_std: 0.5000, Time: 04:00:24
Epoch: 1810, Timestep: 1810000, Reward: 5587.10, Noise_std: 0.5000, Time: 04:01:45
Epoch: 1820, Timestep: 1820000, Reward: 5700.75, Noise_std: 0.5000, Time: 04:03:04
Epoch: 1830, Timestep: 1830000, Reward: 5436.90, Noise_std: 0.5000, Time: 04:04:23
Epoch: 1840, Timestep: 1840000, Reward: 5947.61, Noise_std: 0.5000, Time: 04:05:42
Epoch: 1850, Timestep: 1850000, Reward: 5917.56, Noise_std: 0.5000, Time: 04:07:02
Epoch: 1860, Timestep: 1860000, Reward: 6052.64, Noise_std: 0.5000, Time: 04:08:21
Epoch: 1870, Timestep: 1870000, Reward: 5500.51, Noise_std: 0.5000, Time: 04:09:40
Epoch: 1880, Timestep: 1880000, Reward: 6081.43, Noise_std: 0.5000, Time: 04:10:59
Epoch: 1890, Timestep: 1890000, Reward: 5987.70, Noise_std: 0.5000, Time: 04:12:19
Epoch: 1900, Timestep: 1900000, Reward: 5848.38, Noise_std: 0.5000, Time: 04:13:38
Epoch: 1910, Timestep: 1910000, Reward: 5727.55, Noise_std: 0.5000, Time: 04:14:57
Epoch: 1920, Timestep: 1920000, Reward: 5798.97, Noise_std: 0.5000, Time: 04:16:16
Epoch: 1930, Timestep: 1930000, Reward: 5879.61, Noise_std: 0.5000, Time: 04:17:35
Epoch: 1940, Timestep: 1940000, Reward: 487.27, Noise_std: 0.5000, Time: 04:18:54
Epoch: 1950, Timestep: 1950000, Reward: 5988.68, Noise_std: 0.5000, Time: 04:20:13
Epoch: 1960, Timestep: 1960000, Reward: 6211.10, Noise_std: 0.5000, Time: 04:21:33
Epoch: 1970, Timestep: 1970000, Reward: 6109.82, Noise_std: 0.5000, Time: 04:22:51
Epoch: 1980, Timestep: 1980000, Reward: 5543.80, Noise_std: 0.5000, Time: 04:24:10
Epoch: 1990, Timestep: 1990000, Reward: 5989.20, Noise_std: 0.5000, Time: 04:25:29
Epoch: 2000, Timestep: 2000000, Reward: 6049.38, Noise_std: 0.5000, Time: 04:26:48
Epoch: 2010, Timestep: 2010000, Reward: 6076.83, Noise_std: 0.5000, Time: 04:28:08
Epoch: 2020, Timestep: 2020000, Reward: 5776.01, Noise_std: 0.5000, Time: 04:29:27
Epoch: 2030, Timestep: 2030000, Reward: 5813.55, Noise_std: 0.5000, Time: 04:30:46
Epoch: 2040, Timestep: 2040000, Reward: 6180.54, Noise_std: 0.5000, Time: 04:32:05
Epoch: 2050, Timestep: 2050000, Reward: 5679.33, Noise_std: 0.5000, Time: 04:33:24
Epoch: 2060, Timestep: 2060000, Reward: 6074.21, Noise_std: 0.5000, Time: 04:34:44
Epoch: 2070, Timestep: 2070000, Reward: 5981.02, Noise_std: 0.5000, Time: 04:36:02
Epoch: 2080, Timestep: 2080000, Reward: 5905.44, Noise_std: 0.5000, Time: 04:37:21
Epoch: 2090, Timestep: 2090000, Reward: 6036.48, Noise_std: 0.5000, Time: 04:38:39
Epoch: 2100, Timestep: 2100000, Reward: 6103.20, Noise_std: 0.5000, Time: 04:39:58
Epoch: 2110, Timestep: 2110000, Reward: 5733.72, Noise_std: 0.5000, Time: 04:41:18
Epoch: 2120, Timestep: 2120000, Reward: 6049.08, Noise_std: 0.5000, Time: 04:42:37
Epoch: 2130, Timestep: 2130000, Reward: 5949.92, Noise_std: 0.5000, Time: 04:43:55
Epoch: 2140, Timestep: 2140000, Reward: 5829.56, Noise_std: 0.5000, Time: 04:45:15
Epoch: 2150, Timestep: 2150000, Reward: 6200.08, Noise_std: 0.5000, Time: 04:46:34
Epoch: 2160, Timestep: 2160000, Reward: 6129.98, Noise_std: 0.5000, Time: 04:47:54
Epoch: 2170, Timestep: 2170000, Reward: 6257.83, Noise_std: 0.5000, Time: 04:49:13
Epoch: 2180, Timestep: 2180000, Reward: 6021.18, Noise_std: 0.5000, Time: 04:50:32
Epoch: 2190, Timestep: 2190000, Reward: 6003.23, Noise_std: 0.5000, Time: 04:51:51
Epoch: 2200, Timestep: 2200000, Reward: 5965.01, Noise_std: 0.5000, Time: 04:53:09
Epoch: 2210, Timestep: 2210000, Reward: 5822.45, Noise_std: 0.5000, Time: 04:54:29
Epoch: 2220, Timestep: 2220000, Reward: 6183.58, Noise_std: 0.5000, Time: 04:55:47
Epoch: 2230, Timestep: 2230000, Reward: 5966.66, Noise_std: 0.5000, Time: 04:57:05
Epoch: 2240, Timestep: 2240000, Reward: 5923.78, Noise_std: 0.5000, Time: 04:58:24
Epoch: 2250, Timestep: 2250000, Reward: 5885.94, Noise_std: 0.5000, Time: 04:59:43
Epoch: 2260, Timestep: 2260000, Reward: 6129.85, Noise_std: 0.5000, Time: 05:01:01
Epoch: 2270, Timestep: 2270000, Reward: 5674.74, Noise_std: 0.5000, Time: 05:02:20
Epoch: 2280, Timestep: 2280000, Reward: 5871.96, Noise_std: 0.5000, Time: 05:03:38
Epoch: 2290, Timestep: 2290000, Reward: 5830.87, Noise_std: 0.5000, Time: 05:04:56
Epoch: 2300, Timestep: 2300000, Reward: 5851.17, Noise_std: 0.5000, Time: 05:06:15
Epoch: 2310, Timestep: 2310000, Reward: 5797.69, Noise_std: 0.5000, Time: 05:07:35
Epoch: 2320, Timestep: 2320000, Reward: 6155.48, Noise_std: 0.5000, Time: 05:08:55
Epoch: 2330, Timestep: 2330000, Reward: 5727.14, Noise_std: 0.5000, Time: 05:10:14
Epoch: 2340, Timestep: 2340000, Reward: 5956.64, Noise_std: 0.5000, Time: 05:11:33
Epoch: 2350, Timestep: 2350000, Reward: 5846.64, Noise_std: 0.5000, Time: 05:12:52
Epoch: 2360, Timestep: 2360000, Reward: 5708.12, Noise_std: 0.5000, Time: 05:14:11
